mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.020186106363932293,0.00627937570269239,26.13755965232849,1.401778536341128,uniform,86,"{'weights': 'uniform', 'n_neighbors': 86}",0.8262880058927037,0.8262880058927037,0.8273110447272578,0.8266290188375551,0.00048226513155360243,28,0.8287637598723248,0.8302573965707738,0.8305847689978312,0.8298686418136433,0.0007926185525157077
0.015006383260091146,0.0010003777150809645,26.345502456029255,1.250471571788832,uniform,55,"{'weights': 'uniform', 'n_neighbors': 55}",0.8340631010353153,0.8320579449195892,0.8316078078323853,0.8325762845957633,0.0010672779060178603,17,0.8347792282195032,0.8365388550149364,0.8377665016164013,0.8363615282836138,0.001225978293495977
0.014002005259195963,0.00025970546212151347,26.062318245569866,1.3566397529187473,uniform,67,"{'weights': 'uniform', 'n_neighbors': 67}",0.8316078078323853,0.829561730163277,0.830052788803863,0.8304074422665084,0.0008721401897748456,23,0.8323034742398822,0.8340631010353153,0.8350452183164873,0.8338039311972283,0.0011342154113836737
0.016297260920206707,0.001999896353447169,26.175047715504963,1.4831312262928271,uniform,36,"{'weights': 'uniform', 'n_neighbors': 36}",0.836436551131481,0.8340631010353153,0.8331628268609076,0.8345541596759013,0.0013808624337241547,15,0.8395261284118345,0.8406514711298441,0.841613127634325,0.8405969090586679,0.0008528869418538924
0.015024582544962565,0.0016879957536265165,25.42877507209778,1.5689696141107476,distance,32,"{'weights': 'distance', 'n_neighbors': 32}",0.8397921185088186,0.8369685313254491,0.8370503744322134,0.8379370080888271,0.0013121866168860248,2,0.9999181568932357,0.9999590784466178,0.9999181568932357,0.9999317974110298,1.929060526210851e-05
0.015570720036824545,0.0013169597236183986,26.128458817799885,1.3938501624451822,uniform,98,"{'weights': 'uniform', 'n_neighbors': 98}",0.825633261038589,0.8247329868641814,0.8259197119122642,0.8254286532716781,0.0005056199749792088,30,0.8278839464746082,0.8286000736587961,0.8285182305520318,0.8283340835618119,0.00032004387354285524
0.014055808385213217,0.00015921058044743164,25.588345766067505,1.4208221411250506,distance,88,"{'weights': 'distance', 'n_neighbors': 88}",0.830543847444449,0.8301346319106273,0.8309530629782707,0.830543847444449,0.00033412308422790934,22,0.9999181568932357,0.9999590784466178,0.9999181568932357,0.9999317974110298,1.929060526210851e-05
0.015322605768839518,0.0013034447342453526,25.98127539952596,1.460805442862869,uniform,32,"{'weights': 'uniform', 'n_neighbors': 32}",0.8366411588983917,0.8338175717150224,0.8336948070548758,0.83471784588943,0.0013609108440737973,14,0.8403036379260956,0.8421246470516021,0.8423906371485862,0.841606307375428,0.0009275050596775739
0.01411135991414388,0.0002000611135070799,26.316062450408936,1.5094501329122665,uniform,82,"{'weights': 'uniform', 'n_neighbors': 82}",0.8269836723002005,0.8266972214265254,0.8279657895813725,0.8272155611026996,0.0005432283764166059,26,0.8287228383189426,0.8311167491917993,0.8312395138519458,0.8303597004542292,0.0011585209041119894
0.014384826024373373,0.00033886163124062876,25.372211456298828,1.4922058881575884,distance,40,"{'weights': 'distance', 'n_neighbors': 40}",0.8388918443344109,0.8361501002578058,0.8352907476367802,0.8367775640763323,0.0015356339600941138,6,0.9999181568932357,0.9999590784466178,0.9999181568932357,0.9999317974110298,1.929060526210851e-05
0.014037291208902994,0.0001347743953827254,26.0609077612559,1.205924912545264,uniform,75,"{'weights': 'uniform', 'n_neighbors': 75}",0.8294798870565127,0.8280885542415191,0.8297663379301878,0.8291115930760732,0.0007327891322482496,25,0.8308098375414331,0.8326308466669394,0.833510660064656,0.8323171147576763,0.0011247018445361414
0.014118432998657227,0.00024481281302914646,26.001925945281982,1.4593971201150895,uniform,30,"{'weights': 'uniform', 'n_neighbors': 30}",0.8378688054998568,0.8343904734623726,0.8336538855014937,0.8353043881545744,0.0018380819163132968,10,0.8407128534599173,0.8436387445267423,0.8431476858861562,0.8424997612909385,0.0012793395026464314
0.014385700225830078,0.0003250541584381852,26.031358242034912,1.3804612160099323,uniform,29,"{'weights': 'uniform', 'n_neighbors': 29}",0.8390146089945575,0.8362728649179523,0.8347996889961943,0.8366957209695679,0.0017465190290864411,7,0.8424724802553505,0.8456439006424684,0.845541596759013,0.844552659218944,0.0014715014807049117
0.014379342397054037,0.0005400080056521798,25.396337906519573,1.3124189463041656,distance,34,"{'weights': 'distance', 'n_neighbors': 34}",0.8395875107419077,0.8367639235585382,0.8368048451119204,0.8377187598041221,0.0013215120617405722,4,0.9999181568932357,0.9999590784466178,0.9999181568932357,0.9999317974110298,1.929060526210851e-05
0.013920783996582031,0.0004668653824674066,25.830652395884197,1.3027749579847536,uniform,6,"{'weights': 'uniform', 'n_neighbors': 6}",0.8325080820067929,0.8297663379301878,0.8281294757949011,0.8301346319106274,0.0018064289693066268,24,0.86154192413144,0.8601710520931375,0.8642632074313541,0.8619920612186439,0.0017006668056933696
0.014234383900960287,0.0004538657514390148,25.355770349502563,1.3010433253151121,distance,41,"{'weights': 'distance', 'n_neighbors': 41}",0.8383598641404427,0.8356590416172198,0.834472316569137,0.8361637407755999,0.001626713959724404,8,0.9999181568932357,0.9999590784466178,0.9999181568932357,0.9999317974110298,1.929060526210851e-05
